Address,Price,Beds,Baths,Space
"No address available, Toronto, Ontario M4Y 1E7","$549,900 CAD",1 BedBd,1 BathBa,
"Prime Condos - Near Dundas & Jarvis, Toronto, Toronto, Ontario M5B 1E5","$500,000 CAD",1 BedBd,1 BathBa,
"5 Soudan Ave, Toronto, Ontario M45 0B1","$499,888 CAD",1 BedBd,1 BathBa,
"199 Church Condos, Toronto, Ontario","$649,990 CAD",1 BedBd,1 BathBa,432 SqftSqft
"9 Buttonwood Ave, Toronto, Ontario M6M2H9","$699,999 CAD",3 BedsBds,1 BathBa,
"Empire Queens Quay at 162 Queens Quay East, Toronto, Ontario M5A1B4","$580,990 CAD",,,
"100 Mornelle Crt # 2094, Toronto, Ontario M1E4X2","$449,900 CAD",3 BedsBds,2 BathsBa,
"39 Freeport Dr Toronto Ontario M1C5G1, Toronto, Ontario M1C5G1","$950,000 CAD",3 BedsBds,3 BathsBa,
"2995 Keele St, Toronto, Ontario M3M2G9","$678,000 CAD",2 BedsBds,2 BathsBa,
"2801 Kingston Rd, Toronto, Ontario M1M 1N1","$650,000 CAD",2 BedsBds,2 BathsBa,
"17 Joseph St, Toronto, Ontario M9N2H9","$924,900 CAD",4 BedsBds,2 BathsBa,
"Mila, Toronto, Ontario M1P2S7","$700,000 CAD",,,
"50 Thomas Riley Road Toronto ON, Toronto, Ontario M9B 0C3","$799,000 CAD",2 BedsBds,2 BathsBa,934 SqftSqft
"13 Eaton Park Lane23, Toronto, Ontario M1W0A5","$739,000 CAD",2 BedsBds,3 BathsBa,
"No address available, Toronto, Ontario M6J0B1","$599,999 CAD",2 BedsBds,2 BathsBa,
"4978 Yonge St, Toronto, Ontario M2N 7G8","$499,880 CAD",1 BedBd,1 BathBa,
"69 Burr Ave, Toronto, Ontario M6L1V3","$949,900 CAD",3 BedsBds,2 BathsBa,
"No address available, Toronto, Ontario M6J0B1","$599,999 CAD",2 BedsBds,2 BathsBa,
"4978 Yonge St, Toronto, Ontario M2N 7G8","$499,880 CAD",1 BedBd,1 BathBa,
"7 Robbinstone Dr, Toronto, Ontario M1B2C4","$989,000 CAD",3 BedsBds,4 BathsBa,
"69 Burr Ave, Toronto, Ontario M6L1V3","$949,900 CAD",3 BedsBds,2 BathsBa,
"28 Eastern Condos, Toronto, Ontario M5A 1H5","$500,000 CAD",1 BedBd,1 BathBa,327 SqftSqft
"The Garden Series On Sheppard - 3445 Sheppard Ave E, Scarborough, Toronto, Ontario M1T 3K5","$849,900 CAD",2 BedsBds,2 BathsBa,
"246 Logan Ave, Toronto, Ontario M4M0E9","$649,990 CAD",1 BedBd,1 BathBa,680 SqftSqft
"88 Grangeway Ave Toronto Ontario M1H0A2, Toronto, Ontario M1H0A2","$590,000 CAD",2 BedsBds,2 BathsBa,
"80 Orchid Place Dr # 106, Toronto, Ontario M1B0C4","$596,800 CAD",2 BedsBds,2 BathsBa,
"JAC Condos, Toronto, Ontario M5A2P2","$550,000 CAD",,,
"175 Alexmuir Blvd # 48, Toronto, Ontario M1V1R8","$599,000 CAD",3 BedsBds,4 BathsBa,
"66 Long Branch Ave., Toronto, Ontario M8W 1K3","$1,300,000 CAD",3 BedsBds,3 BathsBa,"1,482 SqftSqft"
"The Twelve Hundred Condos, Toronto, Ontario M6J1X4","$530,000 CAD",,,
"The Dupont Condos, Toronto, Ontario M6G1Z8","$620,000 CAD",1 BedBd,1 BathBa,
"228 Bonis Ave., Scarborough Ontario, Toronto, Ontario M1T 3W4","$618,000 CAD",2 BedsBds,2 BathsBa,"1,335 SqftSqft"
"M2M Townhomes. Yonge and Finch. M2M Spaces, Toronto, Ontario M2M 3T9","$1,179,900 CAD",2 BedsBds,2 BathsBa,"1,106 SqftSqft"
"Canary House Condos Insider VIP Access - Front and Cherry, Toronto, Ontario M5A1H7","$550,000 CAD",,,
"No address available, Toronto, Ontario M9C4Z5","$495,000 CAD",1 BedBd,1 BathBa,
"St. Clair Village Condos - 900 Saint Clair Avenue West, Toronto, ON, Toronto, Ontario M6C 1C5","$894,900 CAD",,,732 SqftSqft
"161 Wickson Tr # 32, Toronto, Ontario M1B2L5","$649,900 CAD",3 BedsBds,2 BathsBa,
"80 Quebec Ave, Toronto, Ontario M6P 4B7","$749,900 CAD",2 BedsBds,2 BathsBa,938 SqftSqft
"1478 Kingston Rd, Toronto, Ontario M1N 1R6","$479,900 CAD",1 BedBd,1 BathBa,
"96 BEVERLEY ST 202, Toronto, Ontario M5T1Y2","$749,000 CAD",2 BedsBds,1 BathBa,
"34 Lady Sarah Cres, Toronto, Ontario M1V1P5","$969,000 CAD",3 BedsBds,3 BathsBa,
"5 HANNA AVE 514, Toronto, Ontario M6K0B3","$789,000 CAD",2 BedsBds,2 BathsBa,
"54 PLATINUM DR, Toronto, Ontario M6M5K2","$999,998 CAD",4 BedsBds,3 BathsBa,
"19 WINDLEY AVE, Toronto, Ontario M6C1N3","$2,499,000 CAD",6 BedsBds,3 BathsBa,
"43 Kennard Ave, Toronto, Ontario M3H4M2","$1,358,000 CAD",6 BedsBds,2 BathsBa,
"52 WAINFLEET RD, Toronto, Ontario M1K3Z5","$999,900 CAD",5 BedsBds,2 BathsBa,
"281 Mutual St 2501, Toronto, Ontario M4Y3C4","$1,198,000 CAD",3 BedsBds,2 BathsBa,
"517 CRAWFORD ST, Toronto, Ontario M6G3J9","$1,299,000 CAD",3 BedsBds,2 BathsBa,
"25 Bala Avenue, Toronto, Ontario M6M 2C9","$499,900 CAD",,,
"10 Queens Quay W 908, Toronto, Ontario M5J 2R9","$599,999 CAD",2 BedsBds,1 BathBa,
"40 Beverley St, Toronto, Ontario M5T1X9","$2,250,000 CAD",3 BedsBds,4 BathsBa,
